"date_index","count_variable","count"
"2014-04-07","date_of_onset",1
"2014-04-15","date_of_onset",1
"2014-04-21","date_of_onset",2
"2014-04-26","date_of_onset",1
"2014-05-01","date_of_onset",2
"2014-05-03","date_of_onset",1
"2014-05-05","date_of_onset",1
"2014-05-06","date_of_onset",2
"2014-05-07","date_of_onset",2
"2014-05-08","date_of_onset",2
"2014-05-09","date_of_onset",2
"2014-05-10","date_of_onset",1
"2014-05-11","date_of_onset",1
"2014-05-12","date_of_onset",3
"2014-05-13","date_of_onset",2
"2014-05-14","date_of_onset",1
"2014-05-16","date_of_onset",2
"2014-05-17","date_of_onset",3
"2014-05-18","date_of_onset",2
"2014-05-19","date_of_onset",3
"2014-05-20","date_of_onset",1
"2014-05-21","date_of_onset",3
"2014-05-22","date_of_onset",1
"2014-05-24","date_of_onset",1
"2014-05-25","date_of_onset",2
"2014-05-26","date_of_onset",3
"2014-05-27","date_of_onset",8
"2014-05-28","date_of_onset",1
"2014-05-29","date_of_onset",1
"2014-05-30","date_of_onset",1
"2014-05-31","date_of_onset",1
"2014-06-02","date_of_onset",3
"2014-06-03","date_of_onset",1
"2014-06-05","date_of_onset",1
"2014-06-06","date_of_onset",3
"2014-06-07","date_of_onset",4
"2014-06-08","date_of_onset",1
"2014-06-09","date_of_onset",4
"2014-06-10","date_of_onset",1
"2014-06-11","date_of_onset",2
"2014-06-13","date_of_onset",1
"2014-06-14","date_of_onset",1
"2014-06-15","date_of_onset",4
"2014-06-16","date_of_onset",4
"2014-06-17","date_of_onset",2
"2014-06-18","date_of_onset",1
"2014-06-19","date_of_onset",3
"2014-06-20","date_of_onset",6
"2014-06-21","date_of_onset",2
"2014-06-22","date_of_onset",4
"2014-06-23","date_of_onset",2
"2014-06-24","date_of_onset",1
"2014-06-25","date_of_onset",3
"2014-06-26","date_of_onset",3
"2014-06-28","date_of_onset",2
"2014-06-29","date_of_onset",2
"2014-06-30","date_of_onset",5
"2014-07-01","date_of_onset",3
"2014-07-02","date_of_onset",3
"2014-07-03","date_of_onset",4
"2014-07-04","date_of_onset",6
"2014-07-05","date_of_onset",3
"2014-07-06","date_of_onset",2
"2014-07-07","date_of_onset",2
"2014-07-08","date_of_onset",5
"2014-07-09","date_of_onset",7
"2014-07-10","date_of_onset",3
"2014-07-11","date_of_onset",3
"2014-07-12","date_of_onset",4
"2014-07-13","date_of_onset",6
"2014-07-14","date_of_onset",8
"2014-07-15","date_of_onset",8
"2014-07-16","date_of_onset",4
"2014-07-17","date_of_onset",6
"2014-07-18","date_of_onset",7
"2014-07-19","date_of_onset",5
"2014-07-20","date_of_onset",10
"2014-07-21","date_of_onset",4
"2014-07-22","date_of_onset",5
"2014-07-23","date_of_onset",6
"2014-07-24","date_of_onset",8
"2014-07-25","date_of_onset",10
"2014-07-26","date_of_onset",5
"2014-07-27","date_of_onset",11
"2014-07-28","date_of_onset",5
"2014-07-29","date_of_onset",12
"2014-07-30","date_of_onset",10
"2014-07-31","date_of_onset",6
"2014-08-01","date_of_onset",6
"2014-08-02","date_of_onset",10
"2014-08-03","date_of_onset",9
"2014-08-04","date_of_onset",11
"2014-08-05","date_of_onset",14
"2014-08-06","date_of_onset",6
"2014-08-07","date_of_onset",7
"2014-08-08","date_of_onset",8
"2014-08-09","date_of_onset",8
"2014-08-10","date_of_onset",13
"2014-08-11","date_of_onset",9
"2014-08-12","date_of_onset",5
"2014-08-13","date_of_onset",13
"2014-08-14","date_of_onset",9
"2014-08-15","date_of_onset",15
"2014-08-16","date_of_onset",24
"2014-08-17","date_of_onset",8
"2014-08-18","date_of_onset",9
"2014-08-19","date_of_onset",12
"2014-08-20","date_of_onset",15
"2014-08-21","date_of_onset",11
"2014-08-22","date_of_onset",22
"2014-08-23","date_of_onset",14
"2014-08-24","date_of_onset",18
"2014-08-25","date_of_onset",15
"2014-08-26","date_of_onset",13
"2014-08-27","date_of_onset",21
"2014-08-28","date_of_onset",18
"2014-08-29","date_of_onset",20
"2014-08-30","date_of_onset",17
"2014-08-31","date_of_onset",14
"2014-09-01","date_of_onset",27
"2014-09-02","date_of_onset",17
"2014-09-03","date_of_onset",22
"2014-09-04","date_of_onset",22
"2014-09-05","date_of_onset",16
"2014-09-06","date_of_onset",27
"2014-09-07","date_of_onset",23
"2014-09-08","date_of_onset",25
"2014-09-09","date_of_onset",30
"2014-09-10","date_of_onset",15
"2014-09-11","date_of_onset",24
"2014-09-12","date_of_onset",27
"2014-09-13","date_of_onset",28
"2014-09-14","date_of_onset",31
"2014-09-15","date_of_onset",33
"2014-09-16","date_of_onset",42
"2014-09-17","date_of_onset",27
"2014-09-18","date_of_onset",25
"2014-09-19","date_of_onset",28
"2014-09-20","date_of_onset",46
"2014-09-21","date_of_onset",38
"2014-09-22","date_of_onset",24
"2014-09-23","date_of_onset",48
"2014-09-24","date_of_onset",28
